,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,price_increase
36208,0.032034,1,0.46808500000000003,0.074817,0.3554,0.003467,0.422915,0.414912,1
33339,0.87589,2,0.702128,0.063198,0.659179,0.004285,0.767737,0.354825,1
15875,0.009601,2,1.0,0.046385,0.543588,0.003467,0.422915,0.414912,1
8666,0.47400600000000004,6,0.10638299999999999,0.024919,0.11068099999999999,0.0016489999999999999,0.212325,0.742105,0
27632,0.8713770000000001,0,0.446809,0.035037,0.438857,0.0022140000000000003,0.310979,0.835526,1
36975,0.469183,2,0.29787199999999997,0.050739,0.476346,0.0033590000000000004,0.519679,0.32807,1
34511,0.898766,4,0.46808500000000003,0.05800399999999999,0.562928,0.003803,0.62144,0.545614,0
36187,0.018494999999999998,2,0.723404,0.045034,0.45804799999999996,0.003467,0.422915,0.414912,0
21009,0.45998,3,0.446809,0.044854000000000005,0.535852,0.003083,0.511911,0.283333,0
18601,0.8986770000000001,2,0.87234,0.08175199999999999,0.645492,0.005405,0.555671,0.45526300000000003,1
28310,0.027123,2,0.617021,0.099376,0.462362,0.003467,0.422915,0.414912,1
11635,0.008938,1,0.893617,0.090369,0.636269,0.003467,0.422915,0.414912,1
16180,0.48683699999999996,3,0.808511,0.062538,0.49732200000000004,0.0043170000000000005,0.5095810000000001,0.21271900000000002,1
8405,0.8899610000000001,0,0.765957,0.037558999999999995,0.6474260000000001,0.002489,0.548938,0.5280699999999999,0
34818,0.898766,4,0.42553199999999997,0.055212,0.607855,0.003635,0.639047,0.43377200000000005,0
33088,0.456219,1,0.361702,0.036838,0.560399,0.002518,0.6320560000000001,0.43421099999999996,1
3564,0.46980200000000005,2,0.510638,0.329771,0.6740550000000001,0.18929400000000002,0.728897,0.326754,1
8835,0.889784,3,0.276596,0.14158800000000002,0.581821,0.009487,0.549197,0.514035,1
6400,0.915667,3,0.6382979999999999,0.10568,0.54701,0.007867,0.726567,0.224561,1
34140,0.43011400000000005,4,0.680851,0.070734,0.502529,0.003467,0.422915,0.414912,1
16906,0.451484,5,0.680851,0.03912,0.660666,0.0026030000000000003,0.582341,0.606579,0
35847,0.9031020000000001,5,0.42553199999999997,0.074667,0.547902,0.005019,0.550751,0.451754,1
37067,0.018141,1,0.06383,0.063558,0.33278800000000003,0.003467,0.422915,0.414912,0
16673,0.8763770000000001,6,0.574468,0.032244999999999996,0.44942,0.001959,0.319782,0.90614,1
5030,0.469846,3,0.255319,0.08232300000000001,0.447932,0.005673,0.551787,0.38552600000000004,0
17455,0.42927299999999996,6,0.744681,0.102948,0.47813199999999995,0.003467,0.422915,0.414912,1
29545,0.443255,0,0.808511,0.070013,0.5376380000000001,0.004711,0.384775,0.42807,1
16016,0.9075700000000001,1,0.48936199999999996,0.08694600000000001,0.556233,0.0057,0.516054,0.594298,1
18420,0.906774,4,0.553191,0.150114,0.615739,0.010209999999999999,0.536251,0.392982,1
8148,0.000398,3,0.574468,0.107752,0.502678,0.003467,0.422915,0.414912,0
26953,0.022521,2,0.787234,0.086976,0.529604,0.003467,0.422915,0.414912,1
4004,0.44285699999999995,5,0.021277,0.068452,0.456561,0.004659,0.40057,0.46052600000000005,1
20598,0.9954430000000001,6,0.702128,0.037288,0.435882,0.002416,0.334283,0.7153510000000001,1
36275,0.8848280000000001,2,0.702128,0.036627999999999994,0.625409,0.002507,0.57276,0.426316,1
13812,0.44347600000000004,5,0.6382979999999999,0.043653,0.463404,0.003002,0.527965,0.377193,0
2482,0.8722620000000001,6,0.744681,0.030652999999999996,0.36507,0.001967,0.299586,0.860526,0
28610,0.443432,4,0.42553199999999997,0.073526,0.552217,0.005185,0.622993,0.380702,1
24380,0.456219,1,0.765957,0.071064,0.710354,0.004857,0.688762,0.406579,1
5608,0.42984799999999995,5,0.787234,0.094152,0.480512,0.003467,0.422915,0.414912,1
32328,0.005398,5,0.255319,0.074817,0.227016,0.003467,0.422915,0.414912,1
17750,0.868192,4,0.340426,0.027741000000000002,0.590896,0.001714,0.51217,0.753509,0
16761,0.902659,2,0.48936199999999996,0.090459,0.5243979999999999,0.006053,0.589591,0.404386,1
35837,0.021902,2,0.446809,0.083584,0.501488,0.003467,0.422915,0.414912,1
2449,0.022344,5,1.0,0.069143,0.294109,0.003467,0.422915,0.414912,1
2589,0.482412,2,0.5319149999999999,0.080071,0.469949,0.005567,0.48886599999999997,0.25964899999999996,1
38147,0.43891899999999995,6,0.446809,0.048337,0.319101,0.003467,0.422915,0.414912,0
35481,0.474492,3,1.0,0.036026999999999997,0.363582,0.0024530000000000003,0.265148,0.445614,0
2680,0.44334300000000004,2,0.829787,0.07388600000000001,0.541654,0.004882,0.531331,0.5552630000000001,1
14536,0.438963,0,0.9361700000000001,0.053621,0.387236,0.003467,0.422915,0.414912,0
11185,0.008628,1,0.787234,0.074817,0.751562,0.003467,0.422915,0.414912,1
10013,0.022831,2,0.723404,0.050648,0.446891,0.003467,0.422915,0.414912,0
11240,0.876244,3,0.87234,0.027381,0.404939,0.0017469999999999999,0.547126,0.654825,0
3912,0.8764209999999999,0,0.23404299999999997,0.021256,0.133889,0.0008179999999999999,0.143708,0.874561,0
5179,0.027565,5,0.46808500000000003,0.077489,0.36730100000000004,0.003467,0.422915,0.414912,1
11956,0.429096,2,0.48936199999999996,0.089408,0.529753,0.003467,0.422915,0.414912,1
25431,0.017875,2,0.361702,0.08229299999999999,0.5182979999999999,0.003467,0.422915,0.414912,1
20229,0.004425,4,0.06383,0.045244,0.400476,0.003467,0.422915,0.414912,0
22068,0.8763770000000001,6,0.5319149999999999,0.032575,0.47322200000000003,0.001959,0.339202,0.898684,1
22524,0.9120389999999999,5,0.276596,0.100606,0.5074380000000001,0.006881999999999999,0.6071979999999999,0.374123,1
20099,0.000575,0,0.9148940000000001,0.09427200000000001,0.41922,0.003467,0.422915,0.414912,1
34618,0.45551099999999994,6,0.06383,0.050799000000000004,0.481256,0.003542,0.455981,0.480263,1
36189,0.03137,0,0.723404,0.11498699999999999,0.550729,0.003467,0.422915,0.414912,1
9782,0.456794,0,0.31914899999999996,0.027291000000000003,0.253645,0.001271,0.15018099999999998,0.8789469999999999,1
27271,0.9688950000000001,0,0.9361700000000001,0.09187000000000001,0.454329,0.004757,0.34127399999999997,0.810526,0
31113,0.897969,0,0.9148940000000001,0.090639,0.5670930000000001,0.0054280000000000005,0.417659,0.767105,1
19298,0.8990309999999999,3,0.765957,0.09523200000000001,0.793365,0.006246,0.677628,0.482018,1
10004,0.880492,2,0.14893599999999999,0.033444999999999996,0.166915,0.00216,0.248835,0.638596,0
5753,0.004867,0,0.9361700000000001,0.10616099999999999,0.531836,0.003467,0.422915,0.414912,1
8465,0.8805360000000001,3,0.382979,0.038429000000000005,0.553555,0.002667,0.542465,0.298246,0
25448,0.013805000000000001,0,0.361702,0.089798,0.6474260000000001,0.003467,0.422915,0.414912,1
18227,0.8981020000000001,3,0.42553199999999997,0.058815,0.67227,0.003882,0.636458,0.514474,0
30884,0.009911,2,0.19148900000000002,0.060496,0.22166,0.003467,0.422915,0.414912,1
37917,0.44228100000000004,5,0.617021,0.054702,0.333532,0.003467,0.422915,0.414912,0
38455,0.44790100000000005,1,0.723404,0.050408,0.77596,0.0034170000000000003,0.618332,0.486842,1
497,0.43462700000000004,6,0.87234,0.047526,0.250967,0.003467,0.422915,0.414912,0
28060,0.8714219999999999,1,0.0,0.027651,0.267629,0.0008410000000000001,0.336354,0.754825,0
17569,0.017743000000000002,6,0.9148940000000001,0.066591,0.32668800000000003,0.003467,0.422915,0.414912,1
17573,0.469625,5,0.255319,0.057794000000000005,0.391104,0.003947,0.455981,0.47631599999999996,1
5677,0.45573199999999997,4,0.9574469999999999,0.037468,0.582565,0.0025670000000000003,0.438115,0.563596,1
10916,0.013274000000000001,2,0.446809,0.041732,0.560994,0.003467,0.422915,0.414912,0
29939,0.0,1,0.574468,0.044374000000000004,0.49166899999999997,0.003467,0.422915,0.414912,1
7572,0.424937,5,0.042553,0.056923,0.18595699999999998,0.003467,0.422915,0.414912,0
7782,0.87651,2,0.9148940000000001,0.026119999999999997,0.413716,0.0008269999999999999,0.313309,0.7087720000000001,0
37380,0.87682,2,0.574468,0.029452,0.593425,0.0019440000000000002,0.534956,0.470175,0
26043,0.44790100000000005,1,0.808511,0.054641999999999996,0.775364,0.003706,0.590368,0.510088,1
28579,0.013982,4,0.06383,0.041431,0.465635,0.003467,0.422915,0.414912,0
18879,0.880581,4,0.744681,0.044974,0.5496880000000001,0.00296,0.480839,0.596491,1
37723,0.014203,2,0.9574469999999999,0.040711000000000004,0.461916,0.003467,0.422915,0.414912,0
801,0.014291,4,0.744681,0.14966400000000002,0.777001,0.003467,0.422915,0.414912,1
19799,0.009778,6,0.8510639999999999,0.041732,0.565457,0.003467,0.422915,0.414912,0
8696,0.8984120000000001,3,0.978723,0.083734,0.5541510000000001,0.005557,0.522786,0.500877,1
17154,0.9031899999999999,0,0.255319,0.031314,0.11633399999999999,0.002081,0.142931,0.657456,0
37875,0.447237,0,0.510638,0.044013,0.5595060000000001,0.0029620000000000002,0.322631,0.748684,1
31639,0.912172,1,0.14893599999999999,0.024018,0.128682,0.001583,0.21854,0.617105,0
22278,0.8850049999999999,6,0.5319149999999999,0.091239,0.428295,0.006018,0.324702,0.54386,1
27677,0.022477,1,0.40425500000000003,0.133421,0.5334720000000001,0.003467,0.422915,0.414912,1
35350,0.46564300000000003,5,0.5319149999999999,0.068872,0.6144,0.004711,0.5137229999999999,0.49078900000000003,1
36724,0.437989,6,0.595745,0.046836,0.272687,0.003467,0.422915,0.414912,0
20957,0.8896069999999999,6,0.808511,0.08670599999999999,0.572002,0.005771,0.48679399999999995,0.621053,1
30168,0.005221,1,0.21276599999999998,0.075958,0.216156,0.003467,0.422915,0.414912,1
11646,0.8900049999999999,1,0.723404,0.08508500000000001,0.8103239999999999,0.00587,0.767737,0.336404,1
12584,0.903544,1,0.255319,0.058725,0.299762,0.002732,0.189021,0.809649,1
33523,0.906818,5,0.808511,0.044674,0.52172,0.002995,0.494562,0.431579,0
4632,0.9025709999999999,0,0.042553,0.086826,0.268075,0.005999,0.441222,0.30964899999999995,1
14462,0.425468,3,0.06383,0.074186,0.203808,0.003467,0.422915,0.414912,0
26195,0.456617,3,0.829787,0.038519,0.672568,0.002584,0.5766439999999999,0.613596,1
5044,0.030927999999999997,4,1.0,0.098775,0.386343,0.003467,0.422915,0.414912,1
33414,0.903544,1,0.8510639999999999,0.042602,0.454478,0.002892,0.40678400000000003,0.411404,0
7449,0.009469,6,0.29787199999999997,0.061367,0.22954499999999997,0.003467,0.422915,0.414912,1
20620,0.46466999999999997,4,0.893617,0.034766000000000005,0.382773,0.00243,0.368462,0.288596,0
14128,0.031901,5,0.361702,0.06055599999999999,0.321184,0.003467,0.422915,0.414912,1
17847,0.46887299999999993,2,0.446809,0.043473000000000005,0.511455,0.002925,0.20533400000000002,0.638158,1
29368,0.031636000000000004,6,0.10638299999999999,0.051909000000000004,0.046415,0.003467,0.422915,0.414912,0
25942,0.031945,6,0.276596,0.074817,0.102797,0.003467,0.422915,0.414912,1
5925,0.460688,5,0.46808500000000003,0.161223,0.58316,0.010937,0.54376,0.312719,1
20359,0.9777440000000001,2,0.12766,0.049267,0.272092,0.0032090000000000005,0.380114,0.684211,0
324,0.451529,6,0.276596,0.038549,0.304969,0.0019510000000000003,0.30838899999999997,0.816228,0
20787,0.8852260000000001,4,0.340426,0.038189,0.557423,0.0026899999999999997,0.555412,0.17763199999999998,0
36209,0.42476,1,0.31914899999999996,0.121352,0.423832,0.003467,0.422915,0.414912,1
30740,0.876333,5,0.23404299999999997,0.037438,0.406575,0.002339,0.472553,0.7013159999999999,1
31899,0.013274000000000001,2,0.10638299999999999,0.049538,0.310027,0.003467,0.422915,0.414912,0
1950,0.026680000000000002,6,0.744681,0.07295499999999999,0.308539,0.003467,0.422915,0.414912,1
15398,0.424716,0,0.42553199999999997,0.10300799999999999,0.501041,0.003467,0.422915,0.414912,1
31363,0.880713,0,0.40425500000000003,0.032335,0.310919,0.000908,0.207405,0.838158,0
25092,0.460201,1,0.787234,0.070764,0.640583,0.004843999999999999,0.609788,0.268421,1
4851,0.44763500000000006,2,0.31914899999999996,0.073436,0.703362,0.004344,0.607457,0.389912,1
24467,0.45626300000000003,2,0.14893599999999999,0.027891000000000003,0.262422,0.0018449999999999999,0.33014,0.7438600000000001,0
21771,0.44263500000000006,0,0.829787,0.086976,0.506546,0.005978,0.348524,0.442105,1
5869,0.456705,5,0.042553,0.034436,0.483487,0.002304,0.48834799999999995,0.544737,1
11943,0.44351999999999997,6,0.808511,0.093791,0.6307649999999999,0.0062770000000000005,0.452615,0.578947,1
31511,0.907526,0,0.702128,0.043082999999999996,0.397947,0.002796,0.254531,0.658333,0
8484,0.889385,1,0.276596,0.028582,0.20961,0.0017929999999999999,0.229933,0.833772,0
19264,0.443166,5,0.8510639999999999,0.05272,0.521273,0.003556,0.461678,0.48859600000000003,1
2335,0.009734,5,0.553191,0.078029,0.524249,0.003467,0.422915,0.414912,1
16371,0.473386,6,0.31914899999999996,0.043833,0.412229,0.002975,0.325738,0.475,1
27029,0.907393,4,0.510638,0.08595499999999999,0.48363599999999995,0.005899000000000001,0.533143,0.287281,1
3073,0.027431999999999998,2,0.510638,0.080131,0.552365,0.003467,0.422915,0.414912,1
17605,0.46909399999999996,0,0.5319149999999999,0.028702,0.278935,0.0018780000000000001,0.19730699999999998,0.696491,0
2591,0.000354,2,0.574468,0.089798,0.468908,0.003467,0.422915,0.414912,0
36609,0.008981999999999999,2,0.42553199999999997,0.09021900000000001,0.697858,0.003467,0.422915,0.414912,0
14689,0.013982,4,0.9574469999999999,0.074276,0.550283,0.003467,0.422915,0.414912,1
10828,0.9113760000000001,4,0.340426,0.059385,0.531687,0.003897,0.57535,0.535088,1
9230,4.4e-05,2,0.10638299999999999,0.041161,0.214073,0.003467,0.422915,0.414912,0
27980,0.433609,4,0.14893599999999999,0.071034,0.128682,0.003467,0.422915,0.414912,1
37637,0.47436000000000006,0,0.0,0.025099,0.158881,0.001674,0.197048,0.764474,0
9917,0.425025,0,0.8510639999999999,0.083343,0.347813,0.003467,0.422915,0.414912,1
9287,0.425468,3,0.6382979999999999,0.119671,0.584796,0.003467,0.422915,0.414912,0
22755,0.026547,3,0.170213,0.054912,0.165873,0.003467,0.422915,0.414912,0
10186,0.8896069999999999,6,0.574468,0.085535,0.40181500000000003,0.0022890000000000002,0.378301,0.6596489999999999,1
10597,0.473386,6,0.680851,0.042512,0.43751899999999994,0.0028539999999999998,0.301657,0.560526,1
23213,0.425601,6,0.255319,0.066741,0.114103,0.003467,0.422915,0.414912,0
12905,0.031105,1,0.085106,0.054161,0.165873,0.003467,0.422915,0.414912,0
16065,0.474138,2,0.31914899999999996,0.028071,0.46742,0.001882,0.389436,0.649123,0
32970,0.009292,2,0.46808500000000003,0.10661099999999998,0.6928,0.003467,0.422915,0.414912,1
25253,0.005044,4,0.787234,0.047886,0.664981,0.003467,0.422915,0.414912,1
14331,0.47343,0,0.340426,0.033926,0.34454,0.002306,0.194977,0.647368,0
38015,0.877085,1,0.978723,0.047316000000000004,0.475602,0.003214,0.378042,0.32763200000000003,1
6093,0.44237,1,0.553191,0.075657,0.516215,0.005228,0.46789200000000003,0.500526,1
32837,0.44268,1,0.595745,0.077099,0.51205,0.005312,0.554376,0.287281,1
7454,0.880448,1,0.744681,0.03924,0.589705,0.002723,0.53392,0.298246,1
31416,0.456484,0,0.5319149999999999,0.036208,0.405534,0.002405,0.37856,0.542982,1
32,0.013715999999999999,5,0.893617,0.045755000000000004,0.416394,0.003467,0.422915,0.414912,0
4329,0.8892530000000001,3,0.744681,0.028942000000000002,0.626004,0.002052,0.665199,0.307895,0
25097,0.897925,6,0.14893599999999999,0.030173000000000002,0.294555,0.001978,0.338426,0.627632,0
3721,0.013937,3,0.042553,0.061966999999999994,0.530199,0.003467,0.422915,0.414912,0
11710,0.43445,2,0.10638299999999999,0.044404,0.166022,0.003467,0.422915,0.414912,0
7690,0.0051329999999999995,6,0.340426,0.068362,0.300952,0.003467,0.422915,0.414912,1
1574,0.9113760000000001,4,0.787234,0.044284,0.48066099999999995,0.002869,0.422579,0.571491,0
8305,0.907792,6,0.617021,0.042813,0.32773,0.0028539999999999998,0.323666,0.506579,0
31240,0.000973,2,0.6382979999999999,0.043833,0.435436,0.003467,0.422915,0.414912,0
29024,0.45214799999999994,6,0.170213,0.033025,0.19056800000000002,0.001843,0.184878,0.593421,0
18831,0.460024,4,0.574468,0.030352999999999998,0.47917299999999996,0.002054,0.530036,0.191228,0
20268,0.47360699999999994,4,0.5319149999999999,0.042933,0.552812,0.002914,0.691869,0.16228099999999998,1
33089,0.46537799999999996,6,0.255319,0.024168000000000002,0.14965799999999999,0.001604,0.16053900000000002,0.792982,0
22325,0.907084,4,0.14893599999999999,0.043263,0.196519,0.002896,0.306059,0.522368,0
2052,0.442326,6,0.8510639999999999,0.053110000000000004,0.363582,0.003467,0.422915,0.414912,1
28933,0.009203,0,0.48936199999999996,0.043203,0.652633,0.003467,0.422915,0.414912,0
11107,0.031856999999999996,4,0.42553199999999997,0.056923,0.276108,0.003467,0.422915,0.414912,0
11921,0.031856999999999996,4,0.829787,0.056923,0.253347,0.003467,0.422915,0.414912,1
30926,0.8893409999999999,0,0.659574,0.034977,0.37935100000000005,0.001971,0.33014,0.6991229999999999,1
3124,0.45135200000000003,2,0.9361700000000001,0.040531,0.5550430000000001,0.0016600000000000002,0.433972,0.714912,0
23937,0.456617,3,0.553191,0.032785,0.5107109999999999,0.002241,0.613672,0.421491,0
23673,0.027388,1,0.978723,0.074817,0.414162,0.003467,0.422915,0.414912,0
5392,0.42524700000000004,5,0.276596,0.07866000000000001,0.24308200000000002,0.003467,0.422915,0.414912,1
3327,0.433742,0,0.46808500000000003,0.076168,0.530794,0.003467,0.422915,0.414912,1
1118,0.46909399999999996,0,0.8510639999999999,0.041912,0.32192800000000005,0.002754,0.27757600000000004,0.623246,1
31403,0.8759790000000001,4,0.87234,0.02696,0.39229400000000003,0.00085,0.387623,0.681579,0
29880,0.45568800000000004,3,1.0,0.036838,0.5550430000000001,0.0025280000000000003,0.484205,0.6824560000000001,0
17887,0.885094,1,0.787234,0.048487,0.700238,0.003297,0.669342,0.245175,0
20748,0.872085,2,0.10638299999999999,0.018854,0.149063,0.000831,0.277317,0.798246,0
37627,0.00969,4,1.0,0.059025,0.554299,0.003467,0.422915,0.414912,0
37577,0.89381,3,0.48936199999999996,0.07295499999999999,0.58911,0.004971,0.685396,0.33684200000000003,1
34505,0.907172,6,0.553191,0.091269,0.376525,0.005939,0.389694,0.669737,1
30161,0.8769520000000001,5,0.446809,0.037377999999999995,0.562481,0.0025670000000000003,0.525893,0.307895,1
27496,0.026503,2,0.9148940000000001,0.074667,0.40836100000000003,0.003467,0.422915,0.414912,0
22933,0.442237,4,0.510638,0.064429,0.529307,0.003467,0.422915,0.414912,0
6478,0.8678379999999999,3,0.255319,0.029481999999999998,0.378756,0.0016239999999999998,0.43992700000000007,0.664912,0
9087,0.8852260000000001,4,0.12766,0.03966,0.23251999999999998,0.002565,0.285085,0.610088,0
11913,0.433963,5,0.19148900000000002,0.043383,0.117525,0.003467,0.422915,0.414912,0
1641,0.42913999999999997,3,0.21276599999999998,0.077849,0.27164499999999997,0.003467,0.422915,0.414912,0
12989,0.8675280000000001,3,0.765957,0.028582,0.46548599999999996,0.001639,0.529777,0.533333,0
24775,0.893545,4,0.6382979999999999,0.054791999999999993,0.538679,0.0037409999999999995,0.623252,0.37806999999999996,0
23867,0.47002299999999997,0,0.255319,0.025129,0.164832,0.001697,0.109529,0.65,0
28361,0.468829,1,0.021277,0.028161000000000002,0.205296,0.0018670000000000002,0.21258400000000002,0.44254399999999994,0
24025,0.8769969999999999,6,0.085106,0.032034,0.161857,0.002144,0.240031,0.47543900000000006,0
5612,0.000752,4,0.42553199999999997,0.095473,0.5670930000000001,0.003467,0.422915,0.414912,1
22143,0.004557,0,0.8510639999999999,0.106761,0.577358,0.003467,0.422915,0.414912,1
21433,0.8892969999999999,6,0.617021,0.028942000000000002,0.32192800000000005,0.001718,0.361471,0.67807,0
14960,0.465333,5,0.29787199999999997,0.028100999999999998,0.38069000000000003,0.001917,0.38192600000000004,0.47456099999999996,0
8130,0.022387999999999998,6,0.510638,0.069143,0.27164499999999997,0.003467,0.422915,0.414912,1
19111,0.00969,4,0.680851,0.092861,0.609789,0.003467,0.422915,0.414912,1
37922,0.451927,1,0.19148900000000002,0.032695,0.22999099999999997,0.001469,0.249612,0.853509,0
3075,0.43790100000000004,4,0.31914899999999996,0.05326,0.40211199999999997,0.003467,0.422915,0.414912,1
15381,0.893943,6,0.9574469999999999,0.060466,0.555638,0.003635,0.40031100000000003,0.699561,0
8381,0.8811110000000001,2,0.978723,0.035427,0.449271,0.0023539999999999998,0.420249,0.561842,1
28885,0.9078360000000001,0,0.06383,0.043143,0.18818800000000002,0.002867,0.340756,0.531579,1
18673,0.438565,5,0.893617,0.051759000000000006,0.304225,0.003467,0.422915,0.414912,0
20949,0.433698,6,0.021277,0.040801,0.182535,0.003467,0.422915,0.414912,0
13737,0.42507,1,0.744681,0.080341,0.409104,0.003467,0.422915,0.414912,1
5588,0.8678819999999999,4,0.659574,0.034496,0.6658729999999999,0.002208,0.7537550000000001,0.535088,1
10676,0.8808459999999999,3,0.06383,0.030113,0.30482,0.001832,0.375971,0.748246,1
36347,0.031592,5,0.574468,0.056833,0.303481,0.003467,0.422915,0.414912,0
10534,0.434583,5,1.0,0.047526,0.23296599999999998,0.003467,0.422915,0.414912,1
6255,0.876864,3,0.10638299999999999,0.028612000000000002,0.16736099999999998,0.0018449999999999999,0.262817,0.592105,0
28424,0.8942969999999999,0,0.765957,0.080401,0.678667,0.005363000000000001,0.563439,0.6070180000000001,1
30143,0.460909,3,0.893617,0.046866000000000005,0.589705,0.003191,0.400052,0.527193,0
27196,0.446617,0,0.340426,0.042631999999999996,0.39169899999999996,0.001876,0.200673,0.765789,0
22007,0.013141,6,0.9361700000000001,0.041401,0.383071,0.003467,0.422915,0.414912,0
5645,0.018451,1,0.9148940000000001,0.045034,0.340077,0.003467,0.422915,0.414912,0
31360,0.473829,2,0.29787199999999997,0.034556,0.47872700000000007,0.002343,0.51217,0.5293859999999999,1
9723,0.004823,6,0.276596,0.062598,0.17837,0.003467,0.422915,0.414912,0
15079,0.477988,1,0.87234,0.035337,0.42695600000000006,0.002455,0.379855,0.281579,0
22020,0.907615,2,0.574468,0.084034,0.480512,0.005673,0.608234,0.398246,1
11708,0.9028360000000001,6,0.14893599999999999,0.036808,0.158137,0.002405,0.24054899999999999,0.651754,0
28161,0.902792,5,0.659574,0.08805700000000001,0.5099670000000001,0.005754,0.506473,0.592105,1
15945,0.439051,2,0.978723,0.050288,0.4518,0.003467,0.422915,0.414912,0
25614,0.00969,4,0.31914899999999996,0.045154,0.645195,0.003467,0.422915,0.414912,0
25250,0.434583,5,0.6382979999999999,0.047526,0.283993,0.003467,0.422915,0.414912,1
28814,0.452237,1,0.361702,0.036898,0.668849,0.0026030000000000003,0.5849300000000001,0.332456,1
1945,0.9821690000000001,3,0.6382979999999999,0.048487,0.500149,0.0033420000000000004,0.555671,0.373246,0
2329,0.013362,4,0.808511,0.11784000000000001,0.732074,0.003467,0.422915,0.414912,1
34819,0.442237,4,0.0,0.059325,0.44674200000000003,0.003467,0.422915,0.414912,0
7615,0.474448,2,0.9574469999999999,0.035937000000000004,0.37340100000000004,0.002445,0.144744,0.502632,0
32873,0.902969,2,0.617021,0.125255,0.48869399999999996,0.008573,0.7107720000000001,0.214912,1
9710,0.018451,1,0.19148900000000002,0.045034,0.153079,0.003467,0.422915,0.414912,0
11213,0.898943,1,0.978723,0.09865499999999999,0.577358,0.006534999999999999,0.551528,0.5179819999999999,1
24738,0.8948280000000001,5,0.446809,0.083704,0.738173,0.005604,0.719057,0.44254399999999994,0
11356,0.446971,1,0.42553199999999997,0.043863,0.536447,0.002987,0.296737,0.640351,1
3875,0.9123049999999999,4,0.829787,0.065059,0.454329,0.00446,0.5100979999999999,0.225877,0
15967,0.893545,4,0.8510639999999999,0.07775900000000001,0.796489,0.00512,0.5963229999999999,0.586404,0
37206,0.022211,2,0.978723,0.057884000000000005,0.40836100000000003,0.003467,0.422915,0.414912,0
18864,0.8716870000000001,0,0.829787,0.028041000000000003,0.364772,0.0017350000000000002,0.261781,0.830263,1
13502,0.021902,2,0.5319149999999999,0.05764400000000001,0.464891,0.003467,0.422915,0.414912,0
35830,0.889474,3,0.617021,0.027231,0.51562,0.0019440000000000002,0.585707,0.232456,0
20764,0.46900600000000003,5,0.021277,0.028822000000000004,0.325052,0.001934,0.2913,0.464474,0
7332,0.469979,6,0.9574469999999999,0.028161000000000002,0.35688800000000004,0.001884,0.215173,0.64693,0
36190,0.47002299999999997,0,0.765957,0.027111,0.350788,0.001843,0.207405,0.5956140000000001,0
36539,0.438388,1,0.170213,0.053561000000000004,0.15828599999999998,0.003467,0.422915,0.414912,0
24108,0.867749,1,0.29787199999999997,0.027351,0.47575100000000003,0.001778,0.456758,0.761404,0
6881,0.45170600000000005,3,0.12766,0.0396,0.33516799999999997,0.002017,0.38115,0.645614,1
24209,0.44285699999999995,5,0.042553,0.062868,0.424576,0.004404,0.447437,0.366228,1
